data	word	mean	low	high
500	until	0.9766068842821927	0.9613979604442637	0.9918158081201216
525	until	0.9756387989772184	0.7728868690815595	0.7783907288728774
550	until	0.9731148517776138	0.7801168539814923	1.1461128495737352
575	until	0.9605071806096532	0.6023336098186338	1.2986807514006726
600	until	0.9565187155352002	0.6490233985642901	1.2440140325061102
25	while	0.6723485618974003	0.6001532378047402	0.7445438859900605
50	while	0.7989774926584846	0.794110775687478	0.8038442096294912
75	while	0.8005123278898495	0.8005123278898495	0.8005123278898495
100	while	0.8008970046452026	0.8008970046452026	0.8008970046452026
125	while	0.7991692778100179	0.7918656994382217	0.8064728561818141
150	while	0.7989818994212782	0.7746481803542833	0.8233156184882731
175	while	0.7982121881954969	0.7933547899740755	0.8030695864169183
200	while	0.7997457391857222	0.7851175245515816	0.8143739538198629
